river,seed,class,AP50,Precision,Recall
bear,123,Cutthroat,0.9587173601147778,0.9486898263198729,0.8038948109353434
bear,456,all,0.3530234396149395,0.5084313119570101,0.4386416842160579
bear,456,Coho,0.08973905504940609,0.2546730870951407,0.1426131511528608
bear,456,Bull,0.9948245614035088,0.8782363285550537,1.0
bear,456,Rainbow,0.012629619340849286,0.10262149583194992,0.04482225656877898
bear,456,Sockeye,0.0014715189873417724,0.0,0.0
bear,456,Pink,0.192007729468599,0.18357741425174787,0.9523809523809523
bear,456,Whitefish,0.16321776580004227,0.7449287689354885,0.16827852998065765
bear,456,Chinook,0.12578463346031077,0.13770609110573767,0.5473251028806584
bear,456,Shiner,0.3608803628068754,0.8945080310327179,0.3302687411598303
bear,456,Pikeminnow,0.7777079538311822,0.6226062574929232,0.8913427561837456
bear,456,Chum,0.008673469387755102,1.0,0.0
bear,456,Steelhead,0.0,0.0,0.0
bear,456,Lamprey,0.88846369633684,0.8179669824435223,0.8482142857142857
bear,456,Cutthroat,0.9739043491215029,0.9727825986968478,0.7770961187869834
